yyyy,mm,dd,hh,mm,lat,lon,elev,icao,faa,wmo,wban,country3,region,sky_total,sky_ceiling,visibility_m,weather_present,weather_past1,weather_past2,temp,dwpt,rh,wind_dir,wind_spd,wind_gst,pressure_alstg,pressure_slp,snow_depth,temp_max24,temp_min24,temp_max12,temp_min12,temp_max6,temp_min6,precip_24,precip_12,precip_6,precip_1,source,datatype,yyyy_rounded,mm_rounded,dd_rounded,hh_rounded
2014,01,02,07,21,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,014,0000,71,,,0.6,-0.6,91,40,3,,29.94,,,,,,,,,,,,1.0,100,13,2014,01,02,07
2014,01,02,07,26,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,016,3200,71,,,0.6,-0.6,91,40,3,,29.94,,,,,,,,,,,,1.3,100,13,2014,01,02,07
2014,01,02,07,38,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,005,0000,71,,,0.6,0.0,96,0,0,,29.94,,,,,,,,,,,,1.3,100,13,2014,01,02,08
2014,01,02,07,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,1600,71,,,0.6,-0.6,91,0,0,,29.94,1014.4,,,,,,,,,,,1.5,100,14,2014,01,02,08
2014,01,02,08,10,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,003,1200,71,,,0.6,-0.6,91,0,0,,29.93,,,,,,,,,,,,0.8,100,13,2014,01,02,08
2014,01,02,08,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,1200,71,,,0.6,-0.6,91,0,0,,29.91,1013.3,,,,,,,,,,4.6,1.8,100,14,2014,01,02,09
2014,01,02,09,00,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,1600,71,,,0.6,-0.6,91,0,0,,29.91,,,,,,,,,,,,0.0,100,13,2014,01,02,09
2014,01,02,09,30,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,0000,71,,,0.6,-0.6,91,0,0,,29.89,,,,,,,,,,,,0.3,100,13,2014,01,02,10
2014,01,02,09,40,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,4800,10,,,0.6,-0.6,91,0,0,,29.89,,,,,,,,,,,,0.3,100,13,2014,01,02,10
2014,01,02,09,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,4800,10,,,0.6,-0.6,91,100,3,,29.88,1012.2,,,,,,,,,,,0.3,100,14,2014,01,02,10
