yyyy,mm,dd,hh,mm,lat,lon,elev,icao,faa,wmo,wban,country3,region,sky_total,sky_ceiling,visibility_m,weather_present,weather_past1,weather_past2,temp,dwpt,rh,wind_dir,wind_spd,wind_gst,pressure_alstg,pressure_slp,snow_depth,temp_max24,temp_min24,temp_max12,temp_min12,temp_max6,temp_min6,precip_24,precip_12,precip_6,precip_1,source,datatype,yyyy_rounded,mm_rounded,dd_rounded,hh_rounded
2013,01,03,15,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,2,,9999,,,,-5.0,-10.6,61,270,5,,30.25,1025.8,,,,,,,,,,,,100,12,2013,01,03,16
2013,01,03,16,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-3.9,-9.4,62,250,5,,30.27,1026.3,,,,,,,,,,,,100,12,2013,01,03,17
2013,01,03,17,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-1.7,-7.2,62,250,5,,30.25,1025.7,,,,,,-2,-11,,,,,100,12,2013,01,03,18
2013,01,03,18,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,0.0,-5.6,62,250,7,,30.23,1025.0,,,,,,,,,,,,100,12,2013,01,03,19
2013,01,03,19,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,050,9999,,,,0.0,-5.6,62,300,7,,30.25,1025.5,,,,,,,,,,,,100,12,2013,01,03,20
2013,01,03,20,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,048,9999,,,,-0.6,-5.0,69,240,6,,30.26,1026.0,,,,,,,,,,,,100,12,2013,01,03,21
2013,01,03,21,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,046,9999,,,,-0.6,-5.0,69,260,6,,30.27,1026.3,,,,,,,,,,,,100,12,2013,01,03,22
2013,01,03,22,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,044,9999,,,,-1.1,-5.6,68,250,4,,30.29,1026.7,,,,,,,,,,,,100,12,2013,01,03,23
2013,01,03,23,03,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,027,9999,,,,-1,-6,65,240,4,,30.29,,,,,,,,,,,,,100,13,2013,01,03,23
2013,01,03,23,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,024,9999,,,,-2.2,-6.1,72,240,5,,30.30,1027.3,,,,,,1,-2,,,,,100,12,2013,01,04,00
2013,01,04,00,09,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,3,,9999,,,,-2,-6,71,240,5,,30.31,,,,,,,,,,,,,100,13,2013,01,04,00
2013,01,04,00,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,037,9999,,,,-2.8,-6.1,75,240,5,,30.31,1027.4,,,,,,,,,,,,100,12,2013,01,04,01
2013,01,04,01,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,031,9999,,,,-1.7,-5.6,72,260,4,,30.31,1027.3,,,,,,,,,,,,100,12,2013,01,04,02
2013,01,04,02,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,031,9999,,,,-1.1,-5.6,68,270,4,,30.31,1027.3,,,,,,,,,,,,100,14,2013,01,04,03
2013,01,04,03,26,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,029,9999,,,,-1,-6,65,270,5,,30.31,,,,,,,,,,,,,100,13,2013,01,04,03
2013,01,04,03,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,027,9999,,,,-0.6,-5.6,65,260,5,,30.32,1027.6,,,,,,,,,,,,100,14,2013,01,04,04
2013,01,04,04,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,027,9999,,,,-0.6,-5.6,65,260,6,,30.33,1028.0,,0.6,-16.1,,,,,,,,,100,14,2013,01,04,05
2013,01,04,05,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,025,9999,,,,-0.6,-5.6,65,270,5,,30.32,1027.6,,,,,,-1,-3,,,,,100,14,2013,01,04,06
2013,01,04,06,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,029,9999,,,,-1.1,-5.6,68,280,6,,30.30,1026.9,,,,,,,,,,,,100,14,2013,01,04,07
2013,01,04,07,01,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,031,9999,,,,-1,-6,65,290,6,,30.30,,,,,,,,,,,,,100,13,2013,01,04,07
2013,01,04,07,15,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,029,9999,,,,-1,-5,71,290,5,,30.31,,,,,,,,,,,,,100,13,2013,01,04,07
2013,01,04,07,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,029,9999,,,,-1.1,-5.0,72,280,4,,30.31,1027.0,,,,,,,,,,,,100,14,2013,01,04,08
2013,01,04,08,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,029,9999,,,,-1.7,-5.0,76,270,3,,30.32,1027.4,,,,,,,,,,,,100,14,2013,01,04,09
2013,01,04,09,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,029,9999,,,,-1.7,-5.0,76,0,0,,30.31,1027.3,,,,,,,,,,,,100,14,2013,01,04,10
2013,01,04,10,26,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,3,,9999,,,,-2,-6,71,250,3,,30.31,,,,,,,,,,,,,100,13,2013,01,04,10
2013,01,04,10,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-3.9,-6.7,79,280,3,,30.30,1027.1,,,,,,,,,,,,100,14,2013,01,04,11
2013,01,04,11,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-5.6,-7.8,83,270,3,,30.32,1027.6,,,,,,-1,-6,,,,,100,12,2013,01,04,12
2013,01,04,12,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,6000,10,,,-7.8,-9.4,87,270,3,,30.33,1028.1,,,,,,,,,,,,100,12,2013,01,04,13
2013,01,04,13,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,3,,6000,10,,,-5.6,-6.7,91,250,4,,30.33,1028.1,,,,,,,,,,,,100,12,2013,01,04,14
2013,01,04,14,01,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,011,6000,10,,,-5,-7,84,250,3,,30.34,,,,,,,,,,,,,100,13,2013,01,04,14
2013,01,04,14,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,2,,8000,10,,,-3.9,-6.1,83,270,6,,30.34,1028.5,,,,,,,,,,,,100,12,2013,01,04,15
2013,01,04,15,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-2.2,-7.8,62,280,13,21,30.37,1029.1,,,,,,,,,,,,100,12,2013,01,04,16
2013,01,04,16,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-2.2,-7.8,62,280,7,,30.36,1029.0,,,,,,,,,,,,100,12,2013,01,04,17
2013,01,04,17,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-1.1,-7.2,59,260,8,,30.34,1028.2,,,,,,-1,-8,,,,,100,12,2013,01,04,18
2013,01,04,18,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-1.1,-7.8,56,270,10,,30.34,1028.2,,,,,,,,,,,,100,12,2013,01,04,19
2013,01,04,19,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-1.1,-8.3,54,250,8,,30.33,1027.8,,,,,,,,,,,,100,12,2013,01,04,20
2013,01,04,20,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-0.6,-7.8,54,260,9,,30.33,1027.8,,,,,,,,,,,,100,12,2013,01,04,21
2013,01,04,21,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-1.1,-7.8,56,260,10,16,30.33,1027.9,,,,,,,,,,,,100,12,2013,01,04,22
